make,make_he,model,year_from,year_to,bolt_count,bolt_spacing,center_bore,rim_sizes_allowed,source_url,source
byd,בי.ווי.די,atto 3,2021,,5,114.3,60.1,"{18}",https://www.wheelfitment.eu/car/BYD/Atto%203%20(2021%20-%20).html,wheelfitment.eu
byd,בי.ווי.די,dolphin,2021,,5,114.3,60.1,"{16,17}",https://www.wheelfitment.eu/car/BYD/Dolphin%20(2021%20-%20).html,wheelfitment.eu
byd,בי.ווי.די,dolphin plus,2023,,5,114.3,60.1,"{17}",https://www.wheelfitment.eu/car/BYD/Dolphin%20Plus%20(2023%20-%20).html,wheelfitment.eu
byd,בי.ווי.די,etp3,2014,,5,120,64.1,"{15,16}",https://www.wheelfitment.eu/car/BYD/Etp3%20(2014%20-%20).html,wheelfitment.eu
byd,בי.ווי.די,han,2022,,5,120,64.1,"{19,20}",https://www.wheelfitment.eu/car/BYD/Han%20(2022%20-%20).html,wheelfitment.eu
byd,בי.ווי.די,m3,2014,,5,120,64.1,"{15,16}",https://www.wheelfitment.eu/car/BYD/M3%20(2014%20-%20).html,wheelfitment.eu
byd,בי.ווי.די,seal,2022,,5,120,64.1,"{19,20}",https://www.wheelfitment.eu/car/BYD/Seal%20(2022%20-%20).html,wheelfitment.eu
byd,בי.ווי.די,t3,2014,,5,120,64.1,"{15,16}",https://www.wheelfitment.eu/car/BYD/T3%20(2014%20-%20).html,wheelfitment.eu
byd,בי.ווי.די,tang,2021,,5,120,64.1,"{20}",https://www.wheelfitment.eu/car/BYD/Tang%20(2021%20-%20).html,wheelfitment.eu
audi,אאודי,100,1982,1990,4,108,57.1,"{14,16,17,18}",https://www.wheelfitment.eu/car/Audi/100%20(1982%20-%201990).html,wheelfitment.eu
audi,אאודי,100,1990,1994,5,112,57.1,"{15,16,17,18,19,20}",https://www.wheelfitment.eu/car/Audi/100%20(1990%20-%201994).html,wheelfitment.eu
audi,אאודי,80,1986,1996,4,108,57.1,"{15,16,17,18,19}",https://www.wheelfitment.eu/car/Audi/80%20(1986%20-%201996).html,wheelfitment.eu
audi,אאודי,a1,2010,2018,5,100,57.1,"{15,16,17,18}",https://www.wheelfitment.eu/car/Audi/A1%20(2010%20-%202018).html,wheelfitment.eu
audi,אאודי,a1,2018,,5,100,57.1,"{15,16,17,18}",https://www.wheelfitment.eu/car/Audi/A1%20(2018%20-%20).html,wheelfitment.eu
audi,אאודי,a1 citycarver,2019,2022,5,100,57.1,"{16,17,18}",https://www.wheelfitment.eu/car/Audi/A1%20Citycarver%20(2019%20-%202022).html,wheelfitment.eu
audi,אאודי,a2,1999,2006,5,100,57.1,"{15,16,17}",https://www.wheelfitment.eu/car/Audi/A2%20(1999%20-%202005).html,wheelfitment.eu
audi,אאודי,a2 1.2 tdi,2000,2006,4,100,57.1,"{14}",https://www.wheelfitment.eu/car/Audi/A2%201.2%20TDI%20(2000%20-%202005).html,wheelfitment.eu
audi,אאודי,a3 8l,1996,2003,5,100,57.1,"{15,16,17,18,19}",https://www.wheelfitment.eu/car/Audi/A3%208L%20(1996%20-%202003).html,wheelfitment.eu
audi,אאודי,a3 8p,2003,2012,5,112,57.1,"{15,16,17,18,19,20}",https://www.wheelfitment.eu/car/Audi/A3%208P%20(2003%20-%202012).html,wheelfitment.eu
audi,אאודי,a3 8v,2012,2020,5,112,57.1,"{16,17,18,19,20}",https://www.wheelfitment.eu/car/Audi/A3%208V%20(2012%20-%202020).html,wheelfitment.eu
audi,אאודי,a3 8y,2020,,5,112,57.1,"{16,17,18,19}",https://www.wheelfitment.eu/car/Audi/A3%208Y%20(2020%20-%20).html,wheelfitment.eu
audi,אאודי,a4,2019,,5,112,66.5,"{16,17,18,19}",https://www.wheelfitment.eu/car/Audi/A4%20(2019%20-%20).html,wheelfitment.eu
audi,אאודי,a4 allroad b8,2009,2015,5,112,66.5,"{17,18,19}",https://www.wheelfitment.eu/car/Audi/A4%20Allroad%20B8%20(2009%20-%202015).html,wheelfitment.eu
audi,אאודי,a4 b5,1994,2000,5,112,57.1,"{15,16,17,18,19,20}",https://www.wheelfitment.eu/car/Audi/A4%20B5%20(1994%20-%202000).html,wheelfitment.eu
audi,אאודי,a4 b6,2000,2004,5,112,57.1,"{15,16,17,18,19,20}",https://www.wheelfitment.eu/car/Audi/A4%20B6%20(2000%20-%202004).html,wheelfitment.eu
audi,אאודי,a4 b7,2004,2008,5,112,57.1,"{15,16,17,18,19,20}",https://www.wheelfitment.eu/car/Audi/A4%20B7%20(2004%20-%202008).html,wheelfitment.eu
