Make,Model,Year Range,PCD,Center Bore,R12,R13,R14,R15,R16,R17,R18,R19,R20,URL
byd,Atto 3,2021 - ,5x114.3,60.1,,,,,,,1,,,https://www.wheelfitment.eu/car/BYD/Atto%203%20(2021%20-%20).html
byd,Dolphin,2021 - ,5x114.3,60.1,,,,,1,1,,,,https://www.wheelfitment.eu/car/BYD/Dolphin%20(2021%20-%20).html
byd,Dolphin Plus,2023 - ,5x114.3,60.1,,,,,,1,,,,https://www.wheelfitment.eu/car/BYD/Dolphin%20Plus%20(2023%20-%20).html
byd,Etp3,2014 - ,5x120,64.1,,,,1,1,,,,,https://www.wheelfitment.eu/car/BYD/Etp3%20(2014%20-%20).html
byd,Han,2022 - ,5x120,64.1,,,,,,,,1,1,https://www.wheelfitment.eu/car/BYD/Han%20(2022%20-%20).html
byd,M3,2014 - ,5x120,64.1,,,,1,1,,,,,https://www.wheelfitment.eu/car/BYD/M3%20(2014%20-%20).html
byd,Seal,2022 - ,5x120,64.1,,,,,,,,1,1,https://www.wheelfitment.eu/car/BYD/Seal%20(2022%20-%20).html
byd,T3,2014 - ,5x120,64.1,,,,1,1,,,,,https://www.wheelfitment.eu/car/BYD/T3%20(2014%20-%20).html
byd,Tang,2021 - ,5x120,64.1,,,,,,,,,1,https://www.wheelfitment.eu/car/BYD/Tang%20(2021%20-%20).html
audi,100,1982 - 1990,4x108,57.1,,,1,,1,1,1,,,https://www.wheelfitment.eu/car/Audi/100%20(1982%20-%201990).html
audi,100,1990 - 1994,5x112,57.1,,,,1,1,1,1,1,1,https://www.wheelfitment.eu/car/Audi/100%20(1990%20-%201994).html
audi,80,1986 - 1996,4x108,57.1,,,,1,1,1,1,1,,https://www.wheelfitment.eu/car/Audi/80%20(1986%20-%201996).html
audi,A1,2010 - 2018,5x100,57.1,,,,1,1,1,1,,,https://www.wheelfitment.eu/car/Audi/A1%20(2010%20-%202018).html
audi,A1,2018 - ,5x100,57.1,,,,1,1,1,1,,,https://www.wheelfitment.eu/car/Audi/A1%20(2018%20-%20).html
audi,A1 Citycarver,2019 - 2022,5x100,57.1,,,,,1,1,1,,,https://www.wheelfitment.eu/car/Audi/A1%20Citycarver%20(2019%20-%202022).html
audi,A2,1999 - 2006,5x100,57.1,,,,1,1,1,,,,https://www.wheelfitment.eu/car/Audi/A2%20(1999%20-%202005).html
audi,A2 1.2 TDI,2000 - 2006,4x100,57.1,,,1,,,,,,,https://www.wheelfitment.eu/car/Audi/A2%201.2%20TDI%20(2000%20-%202005).html
audi,A3 8L,1996 - 2003,5x100,57.1,,,,1,1,1,1,1,,https://www.wheelfitment.eu/car/Audi/A3%208L%20(1996%20-%202003).html
audi,A3 8P,2003 - 2012,5x112,57.1,,,,1,1,1,1,1,1,https://www.wheelfitment.eu/car/Audi/A3%208P%20(2003%20-%202012).html
audi,A3 8V,2012 - 2020,5x112,57.1,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/Audi/A3%208V%20(2012%20-%202020).html
audi,A3 8Y,2020 - ,5x112,57.1,,,,,1,1,1,1,,https://www.wheelfitment.eu/car/Audi/A3%208Y%20(2020%20-%20).html
audi,A4,2019 - ,5x112,66.5,,,,,1,1,1,1,,https://www.wheelfitment.eu/car/Audi/A4%20(2019%20-%20).html
audi,A4 Allroad B8,2009 - 2015,5x112,66.5,,,,,,1,1,1,,https://www.wheelfitment.eu/car/Audi/A4%20Allroad%20B8%20(2009%20-%202015).html
audi,A4 B5,1994 - 2000,5x112,57.1,,,,1,1,1,1,1,1,https://www.wheelfitment.eu/car/Audi/A4%20B5%20(1994%20-%202000).html
audi,A4 B6,2000 - 2004,5x112,57.1,,,,1,1,1,1,1,1,https://www.wheelfitment.eu/car/Audi/A4%20B6%20(2000%20-%202004).html
audi,A4 B7,2004 - 2008,5x112,57.1,,,,1,1,1,1,1,1,https://www.wheelfitment.eu/car/Audi/A4%20B7%20(2004%20-%202008).html
audi,A4 B8,2007 - 2015,5x112,66.5,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/Audi/A4%20B8%20(2007%20-%202015).html
audi,A4 B9,2015 - 2019,5x112,66.5,,,,,1,1,1,1,,https://www.wheelfitment.eu/car/Audi/A4%20B9%20(2015%20-%202019).html
audi,A4 convertible 8H,2002 - 2009,5x112,57.1,,,,,,,,,,https://www.wheelfitment.eu/car/Audi/A4%20Cabriolet%208H%20(2002%20-%202009).html
audi,A5,2007 - 2016,5x112,66.5,,,,,,1,1,1,1,https://www.wheelfitment.eu/car/Audi/A5%20(2007%20-%202016).html
audi,A5,2016 - ,5x112,66.5,,,,,,1,1,1,1,https://www.wheelfitment.eu/car/Audi/A5%20(2016%20-%20).html
audi,A5 Sportback,2009 - 2016,5x112,66.5,,,,,,1,1,1,1,https://www.wheelfitment.eu/car/Audi/A5%20Sportback%20(2009%20-%202016).html
audi,A6,1994 - 1997,5x112,57.1,,,,,,,,,,https://www.wheelfitment.eu/car/Audi/A6%20(1994%20-%201997).html
audi,A6,1997 - 1999,5x112,57.1,,,,,,,,,,https://www.wheelfitment.eu/car/Audi/A6%20(1997%20-%201999).html
audi,A6,1999 - 2004,5x112,57.1,,,,,,,,,,https://www.wheelfitment.eu/car/Audi/A6%20(1999%20-%202004).html
audi,A6,2004 - 2011,5x112,57.1,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/Audi/A6%20(2004%20-%202011).html
audi,A6,2011 - 2014,5x112,66.5,,,,,,,,,,https://www.wheelfitment.eu/car/Audi/A6%20(2011%20-%202014).html
audi,A6,2014 - 2018,5x112,66.5,,,,,,1,1,1,1,https://www.wheelfitment.eu/car/Audi/A6%20(2014%20-%202018).html
